Book,Chapter,Pericope,RefId,start,end
Genesis,12,Abram and Sarai in Egypt,Genesis  12:10-20,Genesis.12.10,Genesis.12.20
Genesis,13,Abram and Lot Separate,Genesis  13,Genesis.13.1,Genesis.13.18
Genesis,14,Abram Rescues Lot,Genesis  14:1-16,Genesis.14.1,Genesis.14.16
Genesis,14,Melchizedek Blesses Abram,Genesis  14:17-24,Genesis.14.17,Genesis.14.24
Genesis,15,The Lord's Covenant Promise to Abram,Genesis  15,Genesis.15.1,Genesis.15.21
Genesis,16,The Birth of Ishmael,Genesis  16,Genesis.16.1,Genesis.16.16
Genesis,17,Abram Is Named Abraham,Genesis  17:1-8,Genesis.17.1,Genesis.17.8
Genesis,17,The Mark of the Covenant,Genesis  17:9-14,Genesis.17.9,Genesis.17.14
Genesis,17,Sarai Is Named Sarah,Genesis  17:15-27,Genesis.17.15,Genesis.17.27
Genesis,18,A Son Is Promised to Sarah,Genesis  18:1-15,Genesis.18.1,Genesis.18.15
Genesis,18,Abraham Intercedes for Sodom,Genesis  18:16-33,Genesis.18.16,Genesis.18.33
Genesis,19,Sodom and Gomorrah Destroyed,Genesis  19:1-29,Genesis.19.1,Genesis.19.29
Genesis,19,Lot and His Daughters,Genesis  19:30-38,Genesis.19.30,Genesis.19.38
Genesis,20,Abraham Deceives Abimelech,Genesis  20,Genesis.20.1,Genesis.20.18
Genesis,21,The Birth of Isaac,Genesis  21:1-7,Genesis.21.1,Genesis.21.7
Genesis,21,Hagar and Ishmael Are Sent Away,Genesis  21:8-21,Genesis.21.8,Genesis.21.21
Genesis,21,Abraham's Covenant with Abimelech,Genesis  21:22-34,Genesis.21.22,Genesis.21.34
Genesis,22,Abraham's Faith Tested,Genesis  22,Genesis.22.1,Genesis.22.24
Genesis,23,The Burial of Sarah,Genesis  23,Genesis.23.1,Genesis.23.20
Genesis,24,A Wife for Isaac,Genesis  24,Genesis.24.1,Genesis.24.67
Genesis,25,The Death of Abraham,Genesis  25:1-11,Genesis.25.1,Genesis.25.11
Genesis,25,Ishmael's Descendants,Genesis  25:12-18,Genesis.25.12,Genesis.25.18
Genesis,25,The Births of Esau and Jacob,Genesis  25:19-26,Genesis.25.19,Genesis.25.26
Genesis,25,Esau Sells His Birthright,Genesis  25:27-34,Genesis.25.27,Genesis.25.34
Genesis,26,Isaac Deceives Abimelech,Genesis  26:1-11,Genesis.26.1,Genesis.26.11
Genesis,26,Conflict over Water Rights,Genesis  26:12-25,Genesis.26.12,Genesis.26.25
Genesis,26,Isaac's Covenant with Abimelech,Genesis  26:26-35,Genesis.26.26,Genesis.26.35
Genesis,27,Jacob Steals Esau's Blessing,Genesis  27:1-40,Genesis.27.1,Genesis.27.40
Genesis,27,Jacob Flees to Paddan-Aram,Genesis  27:41-28:9,Genesis.27.41,Genesis.28.9
Genesis,28,Jacob's Dream at Bethel,Genesis  28:10-22,Genesis.28.10,Genesis.28.22
Genesis,29,Jacob Arrives at Paddan-Aram,Genesis  29:1-14,Genesis.29.1,Genesis.29.14
Genesis,29,Jacob Marries Leah and Rachel,Genesis  29:15-30,Genesis.29.15,Genesis.29.30
Genesis,29,Jacob's Many Children,Genesis  29:31-30:24,Genesis.29.31,Genesis.30.24
Genesis,30,Jacob's Wealth Increases,Genesis  30:25-43,Genesis.30.25,Genesis.30.43
Genesis,31,Jacob Flees from Laban,Genesis  31:1-21,Genesis.31.1,Genesis.31.21
Genesis,31,Laban Pursues Jacob,Genesis  31:22-42,Genesis.31.22,Genesis.31.42
Genesis,31,Jacob's Treaty with Laban,Genesis  31:43-32:2,Genesis.31.43,Genesis.32.2
Genesis,32,Jacob Sends Gifts to Esau,Genesis  32:3-21,Genesis.32.3,Genesis.32.21
Genesis,32,Jacob Wrestles with God,Genesis  32:22-32,Genesis.32.22,Genesis.32.32
Genesis,33,Jacob and Esau Make Peace,Genesis  33,Genesis.33.1,Genesis.33.20
Genesis,34,Revenge against Shechem,Genesis  34,Genesis.34.1,Genesis.34.31
Genesis,35,Jacob's Return to Bethel,Genesis  35:1-15,Genesis.35.1,Genesis.35.15
Genesis,35,The Deaths of Rachel and Isaac,Genesis  35:16-29,Genesis.35.16,Genesis.35.29
Genesis,36,Descendants of Esau,Genesis  36:1-19,Genesis.36.1,Genesis.36.19
Genesis,36,Original Peoples of Edom,Genesis  36:20-30,Genesis.36.20,Genesis.36.30
Genesis,36,Rulers of Edom,Genesis  36:31-43,Genesis.36.31,Genesis.36.43
Genesis,37,Joseph's Dreams,Genesis  37:1-17,Genesis.37.1,Genesis.37.17
Genesis,37,Joseph Sold into Slavery,Genesis  37:18-36,Genesis.37.18,Genesis.37.36
Genesis,38,Judah and Tamar,Genesis  38,Genesis.38.1,Genesis.38.30
Genesis,39,Joseph in Potiphar's House,Genesis  39:1-18,Genesis.39.1,Genesis.39.18
Genesis,39,Joseph Put in Prison,Genesis  39:19-23,Genesis.39.19,Genesis.39.23
Genesis,40,Joseph Interprets Two Dreams,Genesis  40,Genesis.40.1,Genesis.40.23
Genesis,41,Pharaoh's Dreams,Genesis  41:1-36,Genesis.41.1,Genesis.41.36
Genesis,41,Joseph Made Ruler of Egypt,Genesis  41:37-57,Genesis.41.37,Genesis.41.57
Genesis,42,Joseph's Brothers Go to Egypt,Genesis  42,Genesis.42.1,Genesis.42.38
Genesis,43,The Brothers Return to Egypt,Genesis  43:1-18,Genesis.43.1,Genesis.43.18
Genesis,43,A Feast at Joseph's Palace,Genesis  43:19-34,Genesis.43.19,Genesis.43.34
Genesis,44,Joseph's Silver Cup,Genesis  44:1-17,Genesis.44.1,Genesis.44.17
Genesis,44,Judah Speaks for His Brothers,Genesis  44:18-34,Genesis.44.18,Genesis.44.34
Genesis,45,Joseph Reveals His Identity,Genesis  45:1-15,Genesis.45.1,Genesis.45.15
Genesis,45,Pharaoh Invites Jacob to Egypt,Genesis  45:16-28,Genesis.45.16,Genesis.45.28
Genesis,46,Jacob's Journey to Egypt,Genesis  46:1-27,Genesis.46.1,Genesis.46.27
Genesis,46,Jacob's Family Arrives in Goshen,Genesis  46:28-34,Genesis.46.28,Genesis.46.34
Genesis,47,Jacob Blesses Pharaoh,Genesis  47:1-12,Genesis.47.1,Genesis.47.12
Genesis,47,Joseph's Leadership in the Famine,Genesis  47:13-31,Genesis.47.13,Genesis.47.31
Genesis,48,Jacob Blesses Manasseh and Ephraim,Genesis  48,Genesis.48.1,Genesis.48.22
Genesis,49,Jacob's Last Words to His Sons,Genesis  49:1-28,Genesis.49.1,Genesis.49.28
Genesis,49,Jacob's Death and Burial,Genesis  49:29-50:13,Genesis.49.29,Genesis.50.13
Genesis,50,Joseph Reassures His Brothers,Genesis  50:14-21,Genesis.50.14,Genesis.50.21
Genesis,50,The Death of Joseph,Genesis  50:22-26,Genesis.50.22,Genesis.50.26
Exodus,1,The Israelites in Egypt,Exodus  1,Exodus.1.1,Exodus.1.22
Exodus,2,The Birth of Moses,Exodus  2:1-10,Exodus.2.1,Exodus.2.10
Exodus,2,Moses Escapes to Midian,Exodus  2:11-25,Exodus.2.11,Exodus.2.25
Exodus,3,Moses and the Burning Bush,Exodus  3,Exodus.3.1,Exodus.3.22
Exodus,4,Signs of the Lord's Power,Exodus  4:1-17,Exodus.4.1,Exodus.4.17
Exodus,4,Moses Returns to Egypt,Exodus  4:18-31,Exodus.4.18,Exodus.4.31
Exodus,5,Moses and Aaron Speak to Pharaoh,Exodus  5:1-5,Exodus.5.1,Exodus.5.5
Exodus,5,Making Bricks without Straw,Exodus  5:6-23,Exodus.5.6,Exodus.5.23
Exodus,6,Promises of Deliverance,Exodus  6:1-13,Exodus.6.1,Exodus.6.13
Exodus,6,The Ancestors of Moses and Aaron,Exodus  6:14-30,Exodus.6.14,Exodus.6.30
Exodus,7,Aaron's Staff Becomes a Serpent,Exodus  7:1-13,Exodus.7.1,Exodus.7.13
Exodus,7,A Plague of Blood,Exodus  7:14-25,Exodus.7.14,Exodus.7.25
Exodus,8,A Plague of Frogs,Exodus  8:1-15,Exodus.8.1,Exodus.8.15
Exodus,8,A Plague of Gnats,Exodus  8:16-19,Exodus.8.16,Exodus.8.19
Exodus,8,A Plague of Flies,Exodus  8:20-32,Exodus.8.20,Exodus.8.32
Exodus,9,A Plague against Livestock,Exodus  9:1-7,Exodus.9.1,Exodus.9.7
Exodus,9,A Plague of Festering Boils,Exodus  9:8-12,Exodus.9.8,Exodus.9.12
Exodus,9,A Plague of Hail,Exodus  9:13-35,Exodus.9.13,Exodus.9.35
Exodus,10,A Plague of Locusts,Exodus  10:1-20,Exodus.10.1,Exodus.10.20
Exodus,10,A Plague of Darkness,Exodus  10:21-29,Exodus.10.21,Exodus.10.29
Exodus,11,Death for Egypt's Firstborn,Exodus  11,Exodus.11.1,Exodus.11.10
Exodus,12,The First Passover,Exodus  12:1-30,Exodus.12.1,Exodus.12.30
Exodus,12,Israel's Exodus from Egypt,Exodus  12:31-42,Exodus.12.31,Exodus.12.42
Exodus,12,Instructions for the Passover,Exodus  12:43-51,Exodus.12.43,Exodus.12.51
Exodus,13,Dedication of the Firstborn,Exodus  13:1-16,Exodus.13.1,Exodus.13.16
Exodus,13,Israel's Wilderness Detour,Exodus  13:17-14:4,Exodus.13.17,Exodus.14.4
Exodus,14,The Egyptians Pursue Israel,Exodus  14:5-14,Exodus.14.5,Exodus.14.14
Exodus,14,Escape through the Red Sea,Exodus  14:15-31,Exodus.14.15,Exodus.14.31
Exodus,15,A Song of Deliverance,Exodus  15:1-21,Exodus.15.1,Exodus.15.21
Exodus,15,Bitter Water at Marah,Exodus  15:22-27,Exodus.15.22,Exodus.15.27
Exodus,16,Manna and Quail from Heaven,Exodus  16,Exodus.16.1,Exodus.16.36
Exodus,17,Water from the Rock,Exodus  17:1-7,Exodus.17.1,Exodus.17.7
Exodus,17,Israel Defeats the Amalekites,Exodus  17:8-16,Exodus.17.8,Exodus.17.16
Exodus,18,Jethro's Visit to Moses,Exodus  18:1-12,Exodus.18.1,Exodus.18.12
Exodus,18,Jethro's Wise Advice,Exodus  18:13-27,Exodus.18.13,Exodus.18.27
Exodus,19,The Lord Reveals Himself at Sinai,Exodus  19,Exodus.19.1,Exodus.19.25
Exodus,20,Ten Commandments for the Covenant Community,Exodus  20:1-21,Exodus.20.1,Exodus.20.21
Exodus,20,Proper Use of Altars,Exodus  20:22-26,Exodus.20.22,Exodus.20.26
Exodus,21,Fair Treatment of Slaves,Exodus  21:1-11,Exodus.21.1,Exodus.21.11
Exodus,21,Cases of Personal Injury,Exodus  21:12-36,Exodus.21.12,Exodus.21.36
Exodus,22,Protection of Property,Exodus  22:1-15,Exodus.22.1,Exodus.22.15
Exodus,22,Social Responsibility,Exodus  22:16-31,Exodus.22.16,Exodus.22.31
Exodus,23,A Call for Justice,Exodus  23:1-13,Exodus.23.1,Exodus.23.13
Exodus,23,Three Annual Festivals,Exodus  23:14-19,Exodus.23.14,Exodus.23.19
Exodus,23,A Promise of the Lord's Presence,Exodus  23:20-33,Exodus.23.20,Exodus.23.33
Exodus,24,Israel Accepts the Lord's Covenant,Exodus  24,Exodus.24.1,Exodus.24.18
Exodus,25,Offerings for the Tabernacle,Exodus  25:1-9,Exodus.25.1,Exodus.25.9
Exodus,25,Plans for the Ark of the Covenant,Exodus  25:10-22,Exodus.25.10,Exodus.25.22
Exodus,25,Plans for the Table,Exodus  25:23-30,Exodus.25.23,Exodus.25.30
Exodus,25,Plans for the Lampstand,Exodus  25:31-40,Exodus.25.31,Exodus.25.40
Exodus,26,Plans for the Tabernacle,Exodus  26,Exodus.26.1,Exodus.26.37
Exodus,27,Plans for the Altar of Burnt Offering,Exodus  27:1-8,Exodus.27.1,Exodus.27.8
Exodus,27,Plans for the Courtyard,Exodus  27:9-19,Exodus.27.9,Exodus.27.19
Exodus,27,Light for the Tabernacle,Exodus  27:20-21,Exodus.27.20,Exodus.27.21
Exodus,28,Clothing for the Priests,Exodus  28:1-5,Exodus.28.1,Exodus.28.5
Exodus,28,Design of the Ephod,Exodus  28:6-14,Exodus.28.6,Exodus.28.14
Exodus,28,Design of the Chestpiece,Exodus  28:15-30,Exodus.28.15,Exodus.28.30
Exodus,28,Additional Clothing for the Priests,Exodus  28:31-43,Exodus.28.31,Exodus.28.43
Exodus,29,Dedication of the Priests,Exodus  29,Exodus.29.1,Exodus.29.46
Exodus,30,Plans for the Incense Altar,Exodus  30:1-10,Exodus.30.1,Exodus.30.10
Exodus,30,Money for the Tabernacle,Exodus  30:11-16,Exodus.30.11,Exodus.30.16
Exodus,30,Plans for the Washbasin,Exodus  30:17-21,Exodus.30.17,Exodus.30.21
Exodus,30,The Anointing Oil,Exodus  30:22-33,Exodus.30.22,Exodus.30.33
Exodus,30,The Incense,Exodus  30:34-38,Exodus.30.34,Exodus.30.38
Exodus,31,Craftsmen: Bezalel and Oholiab,Exodus  31:1-11,Exodus.31.1,Exodus.31.11
Exodus,31,Instructions for the Sabbath,Exodus  31:12-18,Exodus.31.12,Exodus.31.18
Exodus,32,The Gold Calf,Exodus  32:1-29,Exodus.32.1,Exodus.32.29
Exodus,32,Moses Intercedes for Israel,Exodus  32:30-33:11,Exodus.32.30,Exodus.33.11
Exodus,33,Moses Sees the Lord's Glory,Exodus  33:12-23,Exodus.33.12,Exodus.33.23
Exodus,34,A New Copy of the Covenant,Exodus  34,Exodus.34.1,Exodus.34.35
Exodus,35,Instructions for the Sabbath,Exodus  35:1-3,Exodus.35.1,Exodus.35.3
Exodus,35,Offerings for the Tabernacle,Exodus  35:4-36:7,Exodus.35.4,Exodus.36.7
Exodus,36,Building the Tabernacle,Exodus  36:8-38,Exodus.36.8,Exodus.36.38
Exodus,37,Building the Ark of the Covenant,Exodus  37:1-9,Exodus.37.1,Exodus.37.9
Exodus,37,Building the Table,Exodus  37:10-16,Exodus.37.10,Exodus.37.16
Exodus,37,Building the Lampstand,Exodus  37:17-24,Exodus.37.17,Exodus.37.24
Exodus,37,Building the Incense Altar,Exodus  37:25-29,Exodus.37.25,Exodus.37.29
Exodus,38,Building the Altar of Burnt Offering,Exodus  38:1-7,Exodus.38.1,Exodus.38.7
Exodus,38,Building the Washbasin,Exodus  38:8,Exodus.38.8,Exodus.38.8
Exodus,38,Building the Courtyard,Exodus  38:9-20,Exodus.38.9,Exodus.38.20
Exodus,38,Inventory of Materials,Exodus  38:21-31,Exodus.38.21,Exodus.38.31
Exodus,39,Clothing for the Priests,Exodus  39:1,Exodus.39.1,Exodus.39.1
Exodus,39,Making the Ephod,Exodus  39:2-7,Exodus.39.2,Exodus.39.7
Exodus,39,Making the Chestpiece,Exodus  39:8-21,Exodus.39.8,Exodus.39.21
Exodus,39,Additional Clothing for the Priests,Exodus  39:22-31,Exodus.39.22,Exodus.39.31
Exodus,39,Moses Inspects the Work,Exodus  39:32-43,Exodus.39.32,Exodus.39.43
Exodus,40,The Tabernacle Completed,Exodus  40:1-33,Exodus.40.1,Exodus.40.33
Exodus,40,The Lord's Glory Fills the Tabernacle,Exodus  40:34-38,Exodus.40.34,Exodus.40.38
Leviticus,1,Procedures for the Burnt Offering,Leviticus  1,Leviticus.1.1,Leviticus.1.17
Leviticus,2,Procedures for the Grain Offering,Leviticus  2,Leviticus.2.1,Leviticus.2.16
Leviticus,3,Procedures for the Peace Offering,Leviticus  3,Leviticus.3.1,Leviticus.3.17
Leviticus,4,Procedures for the Sin Offering,Leviticus  4,Leviticus.4.1,Leviticus.4.35
Leviticus,5,Sins Requiring a Sin Offering,Leviticus  5:1-13,Leviticus.5.1,Leviticus.5.13
Leviticus,5,Procedures for the Guilt Offering,Leviticus  5:14-19,Leviticus.5.14,Leviticus.5.19
Leviticus,6,Sins Requiring a Guilt Offering,Leviticus  6:1-7,Leviticus.6.1,Leviticus.6.7
Leviticus,6,Further Instructions for the Burnt Offering,Leviticus  6:8-13,Leviticus.6.8,Leviticus.6.13
Leviticus,6,Further Instructions for the Grain Offering,Leviticus  6:14-18,Leviticus.6.14,Leviticus.6.18
Leviticus,6,Procedures for the Ordination Offering,Leviticus  6:19-23,Leviticus.6.19,Leviticus.6.23
Leviticus,6,Further Instructions for the Sin Offering,Leviticus  6:24-30,Leviticus.6.24,Leviticus.6.30
Leviticus,7,Further Instructions for the Guilt Offering,Leviticus  7:1-10,Leviticus.7.1,Leviticus.7.10
Leviticus,7,Further Instructions for the Peace Offering,Leviticus  7:11-21,Leviticus.7.11,Leviticus.7.21
Leviticus,7,The Forbidden Blood and Fat,Leviticus  7:22-27,Leviticus.7.22,Leviticus.7.27
Leviticus,7,A Portion for the Priests,Leviticus  7:28-38,Leviticus.7.28,Leviticus.7.38
Leviticus,8,Ordination of the Priests,Leviticus  8,Leviticus.8.1,Leviticus.8.36
Leviticus,9,The Priests Begin Their Work,Leviticus  9,Leviticus.9.1,Leviticus.9.24
Leviticus,10,The Sin of Nadab and Abihu,Leviticus  10:1-7,Leviticus.10.1,Leviticus.10.7
Leviticus,10,Instructions for Priestly Conduct,Leviticus  10:8-20,Leviticus.10.8,Leviticus.10.20
Leviticus,11,Ceremonially Clean and Unclean Animals,Leviticus  11,Leviticus.11.1,Leviticus.11.47
Leviticus,12,Purification after Childbirth,Leviticus  12,Leviticus.12.1,Leviticus.12.8
Leviticus,13,Serious Skin Diseases,Leviticus  13:1-46,Leviticus.13.1,Leviticus.13.46
Leviticus,13,Treatment of Contaminated Clothing,Leviticus  13:47-59,Leviticus.13.47,Leviticus.13.59
Leviticus,14,Cleansing from Skin Diseases,Leviticus  14:1-32,Leviticus.14.1,Leviticus.14.32
Leviticus,14,Treatment of Contaminated Houses,Leviticus  14:33-57,Leviticus.14.33,Leviticus.14.57
Leviticus,15,Bodily Discharges,Leviticus  15,Leviticus.15.1,Leviticus.15.33
Leviticus,16,The Day of Atonement,Leviticus  16,Leviticus.16.1,Leviticus.16.34
Leviticus,17,Prohibitions against Eating Blood,Leviticus  17,Leviticus.17.1,Leviticus.17.16
Leviticus,18,Forbidden Sexual Practices,Leviticus  18,Leviticus.18.1,Leviticus.18.30
Leviticus,19,Holiness in Personal Conduct,Leviticus  19,Leviticus.19.1,Leviticus.19.37
Leviticus,20,Punishments for Disobedience,Leviticus  20,Leviticus.20.1,Leviticus.20.27
Leviticus,21,Instructions for the Priests,Leviticus  21:1-22:16,Leviticus.21.1,Leviticus.22.16
Leviticus,22,Worthy and Unworthy Offerings,Leviticus  22:17-33,Leviticus.22.17,Leviticus.22.33
Leviticus,23,The Appointed Festivals,Leviticus  23:1-4,Leviticus.23.1,Leviticus.23.4
Leviticus,23,Passover and the Festival of Unleavened Bread,Leviticus  23:5-8,Leviticus.23.5,Leviticus.23.8
Leviticus,23,Celebration of First Harvest,Leviticus  23:9-14,Leviticus.23.9,Leviticus.23.14
Leviticus,23,The Festival of Harvest,Leviticus  23:15-22,Leviticus.23.15,Leviticus.23.22
Leviticus,23,The Festival of Trumpets,Leviticus  23:23-25,Leviticus.23.23,Leviticus.23.25
Leviticus,23,The Day of Atonement,Leviticus  23:26-32,Leviticus.23.26,Leviticus.23.32
Leviticus,23,The Festival of Shelters,Leviticus  23:33-44,Leviticus.23.33,Leviticus.23.44
Leviticus,24,Pure Oil and Holy Bread,Leviticus  24:1-9,Leviticus.24.1,Leviticus.24.9
Leviticus,24,An Example of Just Punishment,Leviticus  24:10-23,Leviticus.24.10,Leviticus.24.23
Leviticus,25,The Sabbath Year,Leviticus  25:1-7,Leviticus.25.1,Leviticus.25.7
Leviticus,25,The Year of Jubilee,Leviticus  25:8-22,Leviticus.25.8,Leviticus.25.22
Leviticus,25,Redemption of Property,Leviticus  25:23-34,Leviticus.25.23,Leviticus.25.34
Leviticus,25,Redemption of the Poor and Enslaved,Leviticus  25:35-55,Leviticus.25.35,Leviticus.25.55
Leviticus,26,Blessings for Obedience,Leviticus  26:1-13,Leviticus.26.1,Leviticus.26.13
Leviticus,26,Punishments for Disobedience,Leviticus  26:14-46,Leviticus.26.14,Leviticus.26.46
Leviticus,27,Redemption of Gifts Offered to the Lord,Leviticus  27,Leviticus.27.1,Leviticus.27.34
Numbers,1,Registration of Israel's Troops,Numbers  1,Numbers.1.1,Numbers.1.54
Numbers,2,Organization for Israel's Camp,Numbers  2,Numbers.2.1,Numbers.2.34
Numbers,3,Levites Appointed for Service,Numbers  3:1-13,Numbers.3.1,Numbers.3.13
Numbers,3,Registration of the Levites,Numbers  3:14-39,Numbers.3.14,Numbers.3.39
Numbers,3,Redeeming the Firstborn Sons,Numbers  3:40-51,Numbers.3.40,Numbers.3.51
Numbers,4,Duties of the Kohathite Clan,Numbers  4:1-20,Numbers.4.1,Numbers.4.20
Numbers,4,Duties of the Gershonite Clan,Numbers  4:21-28,Numbers.4.21,Numbers.4.28
Numbers,4,Duties of the Merarite Clan,Numbers  4:29-33,Numbers.4.29,Numbers.4.33
Numbers,4,Summary of the Registration,Numbers  4:34-49,Numbers.4.34,Numbers.4.49
Numbers,5,Purity in Israel's Camp,Numbers  5:1-10,Numbers.5.1,Numbers.5.10
Numbers,5,Protecting Marital Faithfulness,Numbers  5:11-31,Numbers.5.11,Numbers.5.31
Numbers,6,Nazirite Laws,Numbers  6:1-21,Numbers.6.1,Numbers.6.21
Numbers,6,The Priestly Blessing,Numbers  6:22-27,Numbers.6.22,Numbers.6.27
Numbers,7,Offerings of Dedication,Numbers  7,Numbers.7.1,Numbers.7.89
Numbers,8,Preparing the Lamps,Numbers  8:1-4,Numbers.8.1,Numbers.8.4
Numbers,8,The Levites Dedicated,Numbers  8:5-26,Numbers.8.5,Numbers.8.26
Numbers,9,The Second Passover,Numbers  9:1-14,Numbers.9.1,Numbers.9.14
Numbers,9,The Fiery Cloud,Numbers  9:15-23,Numbers.9.15,Numbers.9.23
Numbers,10,The Silver Trumpets,Numbers  10:1-10,Numbers.10.1,Numbers.10.10
Numbers,10,The Israelites Leave Sinai,Numbers  10:11-36,Numbers.10.11,Numbers.10.36
Numbers,11,The People Complain to Moses,Numbers  11:1-15,Numbers.11.1,Numbers.11.15
Numbers,11,Moses Chooses Seventy Leaders,Numbers  11:16-30,Numbers.11.16,Numbers.11.30
Numbers,11,The Lord Sends Quail,Numbers  11:31-35,Numbers.11.31,Numbers.11.35
Numbers,12,The Complaints of Miriam and Aaron,Numbers  12,Numbers.12.1,Numbers.12.16
Numbers,13,Twelve Scouts Explore Canaan,Numbers  13:1-24,Numbers.13.1,Numbers.13.24
Numbers,13,The Scouting Report,Numbers  13:25-33,Numbers.13.25,Numbers.13.33
Numbers,14,The People Rebel,Numbers  14:1-12,Numbers.14.1,Numbers.14.12
Numbers,14,Moses Intercedes for the People,Numbers  14:13-25,Numbers.14.13,Numbers.14.25
Numbers,14,The Lord Punishes the Israelites,Numbers  14:26-45,Numbers.14.26,Numbers.14.45
Numbers,15,Laws concerning Offerings,Numbers  15:1-31,Numbers.15.1,Numbers.15.31
Numbers,15,Penalty for Breaking the Sabbath,Numbers  15:32-36,Numbers.15.32,Numbers.15.36
Numbers,15,Tassels on Clothing,Numbers  15:37-41,Numbers.15.37,Numbers.15.41
Numbers,16,Korah's Rebellion,Numbers  16,Numbers.16.1,Numbers.16.50
Numbers,17,The Budding of Aaron's Staff,Numbers  17,Numbers.17.1,Numbers.17.13
Numbers,18,Duties of Priests and Levites,Numbers  18:1-7,Numbers.18.1,Numbers.18.7
Numbers,18,Support for the Priests and Levites,Numbers  18:8-32,Numbers.18.8,Numbers.18.32
Numbers,19,The Water of Purification,Numbers  19,Numbers.19.1,Numbers.19.22
Numbers,20,Moses Strikes the Rock,Numbers  20:1-13,Numbers.20.1,Numbers.20.13
Numbers,20,Edom Refuses Israel Passage,Numbers  20:14-21,Numbers.20.14,Numbers.20.21
Numbers,20,The Death of Aaron,Numbers  20:22-29,Numbers.20.22,Numbers.20.29
Numbers,21,Victory over the Canaanites,Numbers  21:1-3,Numbers.21.1,Numbers.21.3
Numbers,21,The Bronze Snake,Numbers  21:4-9,Numbers.21.4,Numbers.21.9
Numbers,21,Israel's Journey to Moab,Numbers  21:10-20,Numbers.21.10,Numbers.21.20
Numbers,21,Victory over Sihon and Og,Numbers  21:21-35,Numbers.21.21,Numbers.21.35
Numbers,22,Balak Sends for Balaam,Numbers  22:1-20,Numbers.22.1,Numbers.22.20
Numbers,22,Balaam and His Donkey,Numbers  22:21-41,Numbers.22.21,Numbers.22.41
Numbers,23,Balaam Blesses Israel,Numbers  23:1-12,Numbers.23.1,Numbers.23.12
Numbers,23,Balaam's Second Message,Numbers  23:13-26,Numbers.23.13,Numbers.23.26
Numbers,23,Balaam's Third Message,Numbers  23:27-24:14,Numbers.23.27,Numbers.24.14
Numbers,24,Balaam's Final Messages,Numbers  24:15-25,Numbers.24.15,Numbers.24.25
Numbers,25,Moab Seduces Israel,Numbers  25,Numbers.25.1,Numbers.25.18
Numbers,26,The Second Registration of Israel's Troops,Numbers  26:1-4,Numbers.26.1,Numbers.26.4
Numbers,26,The Tribe of Reuben,Numbers  26:5-11,Numbers.26.5,Numbers.26.11
Numbers,26,The Tribe of Simeon,Numbers  26:12-14,Numbers.26.12,Numbers.26.14
Numbers,26,The Tribe of Gad,Numbers  26:15-18,Numbers.26.15,Numbers.26.18
Numbers,26,The Tribe of Judah,Numbers  26:19-22,Numbers.26.19,Numbers.26.22
Numbers,26,The Tribe of Issachar,Numbers  26:23-25,Numbers.26.23,Numbers.26.25
Numbers,26,The Tribe of Zebulun,Numbers  26:26-27,Numbers.26.26,Numbers.26.27
Numbers,26,The Tribe of Manasseh,Numbers  26:28-34,Numbers.26.28,Numbers.26.34
Numbers,26,The Tribe of Ephraim,Numbers  26:35-37,Numbers.26.35,Numbers.26.37
Numbers,26,The Tribe of Benjamin,Numbers  26:38-41,Numbers.26.38,Numbers.26.41
